"NAME","zipcodetabulationarea","B09001_003"
"ZCTA5 10303","10303",1127
"ZCTA5 10302","10302",1006
"ZCTA5 10312","10312",1687
"ZCTA5 10301","10301",1609
"ZCTA5 10306","10306",1961
"ZCTA5 10309","10309",941
"ZCTA5 10310","10310",1081
"ZCTA5 10314","10314",2863
"ZCTA5 10308","10308",804
"ZCTA5 10307","10307",504
"ZCTA5 10311","10311",0
"ZCTA5 10304","10304",1833
"ZCTA5 10305","10305",1324
"ZCTA5 10454","10454",2112
"ZCTA5 11370","11370",971
"ZCTA5 10463","10463",3066
"ZCTA5 10464","10464",120
"ZCTA5 10457","10457",4169
"ZCTA5 10469","10469",2346
"ZCTA5 10472","10472",3476
"ZCTA5 10473","10473",1984
"ZCTA5 10461","10461",2155
"ZCTA5 10471","10471",786
"ZCTA5 10462","10462",3676
"ZCTA5 10468","10468",3146
"ZCTA5 10474","10474",744
"ZCTA5 10475","10475",784
"ZCTA5 10455","10455",2192
"ZCTA5 10456","10456",3733
"ZCTA5 10466","10466",3395
"ZCTA5 10470","10470",573
"ZCTA5 10459","10459",2537
"ZCTA5 10465","10465",1145
"ZCTA5 10452","10452",4102
"ZCTA5 10453","10453",4150
"ZCTA5 10451","10451",1997
"ZCTA5 10458","10458",3736
"ZCTA5 10467","10467",4482
"ZCTA5 10460","10460",2609
"ZCTA5 11217","11217",1372
"ZCTA5 11213","11213",2626
"ZCTA5 11208","11208",4758
"ZCTA5 11206","11206",4093
"ZCTA5 11232","11232",1041
"ZCTA5 11209","11209",2621
"ZCTA5 11229","11229",2900
"ZCTA5 11219","11219",7304
"ZCTA5 11233","11233",3305
"ZCTA5 11218","11218",3933
"ZCTA5 11201","11201",2060
"ZCTA5 11221","11221",2989
"ZCTA5 11235","11235",1814
"ZCTA5 11210","11210",2718
"ZCTA5 11220","11220",4463
"ZCTA5 11211","11211",5569
"ZCTA5 11215","11215",2687
"ZCTA5 11239","11239",529
"ZCTA5 11237","11237",2539
"ZCTA5 11228","11228",1121
"ZCTA5 11226","11226",3987
"ZCTA5 11234","11234",3410
"ZCTA5 11230","11230",4008
"ZCTA5 11216","11216",1803
"ZCTA5 11238","11238",1769
"ZCTA5 11223","11223",2837
"ZCTA5 11236","11236",3418
"ZCTA5 11425","11425",0
"ZCTA5 11231","11231",1247
"ZCTA5 11204","11204",3660
"ZCTA5 11212","11212",3763
"ZCTA5 11222","11222",742
"ZCTA5 11207","11207",4388
"ZCTA5 11214","11214",2609
"ZCTA5 11224","11224",1113
"ZCTA5 11225","11225",2128
"ZCTA5 11203","11203",2983
"ZCTA5 11205","11205",2371
"ZCTA5 10028","10028",1853
"ZCTA5 10029","10029",2313
"ZCTA5 10112","10112",0
"ZCTA5 10115","10115",0
"ZCTA5 10032","10032",2287
"ZCTA5 10033","10033",1931
"ZCTA5 10170","10170",0
"ZCTA5 10031","10031",1949
"ZCTA5 10111","10111",0
"ZCTA5 10024","10024",2568
"ZCTA5 10035","10035",1522
"ZCTA5 10027","10027",1849
"ZCTA5 10039","10039",1122
"ZCTA5 10037","10037",547
"ZCTA5 10040","10040",1223
"ZCTA5 10168","10168",0
"ZCTA5 10036","10036",466
"ZCTA5 10030","10030",965
"ZCTA5 10171","10171",0
"ZCTA5 10167","10167",0
"ZCTA5 10162","10162",77
"ZCTA5 10025","10025",3142
"ZCTA5 10279","10279",0
"ZCTA5 10172","10172",0
"ZCTA5 10069","10069",419
"ZCTA5 10023","10023",2735
"ZCTA5 10044","10044",487
"ZCTA5 10065","10065",1067
"ZCTA5 10165","10165",0
"ZCTA5 10154","10154",0
"ZCTA5 10153","10153",0
"ZCTA5 10075","10075",867
"ZCTA5 10169","10169",0
"ZCTA5 10021","10021",1474
"ZCTA5 10034","10034",1392
"ZCTA5 10282","10282",399
"ZCTA5 10278","10278",0
"ZCTA5 10103","10103",0
"ZCTA5 10271","10271",0
"ZCTA5 10038","10038",571
"ZCTA5 10110","10110",0
"ZCTA5 10119","10119",0
"ZCTA5 10026","10026",1825
"ZCTA5 10280","10280",299
"ZCTA5 10022","10022",909
"ZCTA5 10018","10018",106
"ZCTA5 10177","10177",0
"ZCTA5 10174","10174",0
"ZCTA5 10463","10463",3066
"ZCTA5 10014","10014",607
"ZCTA5 10173","10173",0
"ZCTA5 10128","10128",1552
"ZCTA5 10019","10019",958
"ZCTA5 10199","10199",0
"ZCTA5 10152","10152",0
"ZCTA5 10016","10016",1343
"ZCTA5 10001","10001",532
"ZCTA5 10020","10020",0
"ZCTA5 10006","10006",41
"ZCTA5 10002","10002",1761
"ZCTA5 10012","10012",453
"ZCTA5 10007","10007",311
"ZCTA5 10005","10005",110
"ZCTA5 10003","10003",937
"ZCTA5 10010","10010",532
"ZCTA5 10009","10009",1116
"ZCTA5 10004","10004",154
"ZCTA5 10011","10011",1187
"ZCTA5 10017","10017",286
"ZCTA5 10013","10013",889
"ZCTA5 11102","11102",1149
"ZCTA5 11103","11103",962
"ZCTA5 11357","11357",1826
"ZCTA5 11104","11104",752
"ZCTA5 11356","11356",744
"ZCTA5 11109","11109",192
"ZCTA5 11101","11101",973
"ZCTA5 11693","11693",403
"ZCTA5 11106","11106",908
"ZCTA5 11105","11105",1019
"ZCTA5 11372","11372",2256
"ZCTA5 11354","11354",1095
"ZCTA5 11370","11370",971
"ZCTA5 11430","11430",0
"ZCTA5 11373","11373",3293
"ZCTA5 11351","11351",0
"ZCTA5 11355","11355",2151
"ZCTA5 11369","11369",1756
"ZCTA5 11040","11040",1338
"ZCTA5 11432","11432",2309
"ZCTA5 11368","11368",5537
"ZCTA5 11003","11003",1341
"ZCTA5 11414","11414",643
"ZCTA5 11379","11379",790
"ZCTA5 11423","11423",1102
"ZCTA5 11419","11419",1384
"ZCTA5 11363","11363",128
"ZCTA5 11371","11371",0
"ZCTA5 11005","11005",0
"ZCTA5 11416","11416",946
"ZCTA5 11418","11418",1238
"ZCTA5 11428","11428",616
"ZCTA5 11429","11429",856
"ZCTA5 11362","11362",500
"ZCTA5 11365","11365",1678
"ZCTA5 11374","11374",1411
"ZCTA5 11378","11378",1448
"ZCTA5 11004","11004",463
"ZCTA5 11417","11417",1113
"ZCTA5 11424","11424",0
"ZCTA5 11358","11358",1249
"ZCTA5 11367","11367",2186
"ZCTA5 11692","11692",649
"ZCTA5 11694","11694",585
"ZCTA5 11411","11411",616
"ZCTA5 11385","11385",4019
"ZCTA5 11413","11413",1239
"ZCTA5 11426","11426",615
"ZCTA5 11361","11361",843
"ZCTA5 11697","11697",105
"ZCTA5 11412","11412",1284
"ZCTA5 11415","11415",644
"ZCTA5 11427","11427",853
"ZCTA5 11364","11364",1208
"ZCTA5 11375","11375",2090
"ZCTA5 11377","11377",2758
"ZCTA5 11360","11360",731
"ZCTA5 11691","11691",3361
"ZCTA5 11451","11451",0
"ZCTA5 11421","11421",1790
"ZCTA5 11366","11366",372
"ZCTA5 11001","11001",908
"ZCTA5 11422","11422",1308
"ZCTA5 11420","11420",1840
"ZCTA5 11434","11434",2036
"ZCTA5 11436","11436",697
"ZCTA5 11433","11433",1264
"ZCTA5 11359","11359",0
"ZCTA5 11435","11435",2203
